"","cod"
"1","Certain infectious and parasitic diseases"
"2","Neoplasms"
"3","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"
"4","Endocrine, nutritional and metabolic diseases"
"5","Mental and behavioural disorders"
"6","Diseases of the nervous system"
"7","Diseases of the circulatory system"
"8","Diseases of the respiratory system"
"9","Diseases of the digestive system"
"10","Diseases of the skin and subcutaneous tissue"
"11","Diseases of the musculoskeletal system and connective tissue"
"12","Diseases of the genitourinary system"
"13","Pregnancy, childbirth and the puerperium"
"14","Certain conditions originating in the perinatal period"
"15","Congenital malformations, deformations and chromosomal abnormalities"
"16","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
"17","External causes of morbidity and mortality"
